Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of 2P,% of 0-3,% of 3-10,% of 10-16,% of 16-3P,% of 3P,2P FG%,0-3 FG%,3-10 FG%,10-16 FG%,16-3P FG%,3P FG%,% of 2P assisted,% of 3P assisted,username
Caleb Martin,SF,26,MIA,60,1372,0.507,12.6,0.622,0.373,0.146,0.034,0.068,0.378,0.565,0.739,0.250,0.143,0.500,0.413,0.604,0.906,martica02
Cody Martin,SF,26,CHO,71,1866,0.482,12.1,0.624,0.390,0.137,0.045,0.052,0.376,0.542,0.679,0.345,0.316,0.227,0.384,0.636,0.885,martico01
Kelan Martin,SF,26,TOT,30,450,0.409,15.4,0.561,0.234,0.123,0.088,0.117,0.439,0.500,0.650,0.190,0.467,0.550,0.293,0.646,1.000,martike03
Kenyon Martin Jr.,SF,21,HOU,79,1656,0.533,9.8,0.679,0.455,0.222,0.002,0.000,0.321,0.617,0.739,0.371,0.000,,0.357,0.735,1.000,martike04
Garrison Mathews,SG,25,HOU,65,1712,0.399,22.5,0.163,0.104,0.041,0.009,0.009,0.837,0.600,0.771,0.316,0.250,0.250,0.360,0.756,0.978,mathega01
Dakota Mathias,SG,26,MEM,6,16,0.333,25.1,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.333,,1.000,mathida01
Wesley Matthews,SG,35,MIL,49,1002,0.395,19.1,0.286,0.155,0.091,0.041,0.000,0.714,0.540,0.676,0.400,0.333,,0.338,0.647,0.981,matthwe02
Tyrese Maxey,PG,21,PHI,75,2650,0.485,12.9,0.689,0.258,0.237,0.121,0.073,0.311,0.512,0.654,0.466,0.317,0.479,0.427,0.450,0.712,maxeyty01
Skylar Mays,SG,24,ATL,28,220,0.500,12.1,0.609,0.422,0.109,0.016,0.063,0.391,0.615,0.667,0.429,0.000,0.750,0.320,0.417,1.000,mayssk01
Miles McBride,PG,21,NYK,40,372,0.296,19.1,0.370,0.139,0.093,0.019,0.120,0.630,0.375,0.600,0.200,0.000,0.308,0.250,0.267,0.765,mcbrimi01
Mac McClung,SG-PG,23,TOT,2,25,0.500,16.5,0.500,0.333,0.000,0.000,0.167,0.500,0.667,0.500,,,1.000,0.333,1.000,1.000,mccluma01
CJ McCollum,SG,30,TOT,62,2145,0.460,16.2,0.597,0.127,0.183,0.162,0.125,0.403,0.509,0.642,0.441,0.497,0.490,0.388,0.254,0.659,mccolcj01
T.J. McConnell,PG,29,IND,27,652,0.481,10.0,0.841,0.274,0.332,0.173,0.063,0.159,0.514,0.561,0.565,0.417,0.308,0.303,0.256,0.900,mccontj01
Jaden McDaniels,PF,21,MIN,70,1803,0.460,13.8,0.545,0.283,0.179,0.054,0.029,0.455,0.579,0.726,0.364,0.533,0.563,0.317,0.720,0.988,mcdanja02
Jalen McDaniels,SF,24,CHO,55,895,0.484,13.4,0.575,0.283,0.224,0.051,0.016,0.425,0.562,0.750,0.386,0.231,0.750,0.380,0.610,1.000,mcdanja01
Doug McDermott,PF,30,SAS,51,1223,0.462,16.6,0.449,0.176,0.185,0.060,0.028,0.551,0.512,0.646,0.395,0.464,0.538,0.422,0.850,0.991,mcderdo01
